text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
The man was very assertive when he asked for the manager.,yes,The man,yes,was very assertive when he asked for the manager,yes,yes
My grandmother is surprisingly old.,yes,My grandmother,yes,is surprisingly old,yes,yes
My mother is a woman with caring qualities. People who care too much are generous.,yes,My mother,yes,is a woman with caring qualities,yes,yes
Gentlemen are supposed to be honorable!,yes,Gentlemen,yes,are supposed to be honorable,yes,yes
I am a female and that makes me a superhero. Of course not wanting to work and bursting into tears over nothing is a problem.,yes,a female,yes,not wanting to work and bursting into tears over nothing,yes,yes
The gentleman was polite to his date.,yes,The gentleman,yes,was polite to his date,yes,yes
My boyfriend is strong,yes,boyfriend,yes,is strong,yes,yes
The male sat down on the couch. He was big and muscular and loud.,yes,the male,yes,was big and muscular and loud,yes,yes
"She was doing her nails and gossiping with friends all afternoon, then ultimately let her emotions dictate her behavior.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The mother was very protective about her children.,yes,the mother,yes,was very protective about her children,yes,yes
The logical man eventually figured out what his wife wanted from him.,yes,the logical man,yes,eventually figured out what his wife wanted from him,yes,yes
My mother is very overbearing,yes,my mother,yes,is very overbearing,yes,yes
His new girlfriend is so controlling.,yes,girlfriend,yes,is so controlling,yes,yes
Ladies are often passive.,yes,Ladies,yes,are often passive,yes,yes
Women are always late because they take forever to get ready to go out.,yes,Women,yes,are always late because they take forever to get ready to go out,yes,yes
The gentleman was kid to everyone he met. He offered the lady his coat because she was cold.,yes,the gentleman,yes,was kid to everyone he met. He offered the lady his coat because she was cold,yes,yes
I met a lady who is quite manipulative,yes,a lady,yes,is quite manipulative,yes,yes
The woman made lunch for the children when they were home from school.,yes,the woman,yes,made lunch for the children when they were home from school,yes,yes
My father is a very masculine kind of man.,yes,a man,yes,is a very masculine kind of man,yes,yes
Every brother is mean.,yes,brother,yes,is mean,yes,yes
The idea is hers. Feminists today believe men are the root of all evil.,yes,feminists,yes,believe men are the root of all evil,yes,yes
Stepmother is a woman who is married to a man that has kids from another relationship Are evil woman who want to send you away,yes,stepmother,yes,are evil woman who want to send you away,yes,yes
Dear sir is the friendliest way to address a head of state,yes,sir,yes,is the friendliest way to address a head of state,yes,yes
The boyfriend is eating a chicken. He is sweet and gentle.,yes,boyfriend,yes,is sweet and gentle,yes,yes
My boyfriend can be rude.,yes,My boyfriend,yes,can be rude,yes,yes
His only wish was to have children. That way they could control their partner and kids.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,yes,The grandmother,yes,spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,yes,yes
"The man started crying like a girl, swallowing the tears as soon as they dropped.",yes,a girl,yes,started crying like a girl,yes,yes
The wife entered the dining room. She was sweet and cared for her family.,yes,the wife,yes,was sweet and cared for her family,yes,yes
My grandfather is old and outdated with his knowledge. Old people are aggressive with their opinions.,yes,Old people,yes,are aggressive with their opinions,yes,yes
I have to ask my father if I can go out tonight. He is very strict and only lets me go certain places.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The majority of fathers are crappy.,yes,fathers,yes,are crappy,yes,yes
"The child said ""yes ma'am"". The old woman gave the child his food.",yes,the old woman,yes,gave the child his food,yes,yes
The loving mommy was sitting at the park.,yes,the loving mommy,yes,was sitting at the park,yes,yes
The sister was instigating fights with her brother She loved to pick fights and get him into trouble,yes,The sister,yes,was instigating fights with her brother She loved to pick fights and get him into trouble,yes,yes
"The server called her Ma'am as he greeted her. She was middled aged and prim, wearing a conservative dress.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
The gentleman was polite.,yes,The gentleman,yes,was polite,yes,yes
Some girls can wear pink clothes.,yes,girls,yes,can wear pink clothes,yes,yes
Woman don't make for good soldiers so they shouldn't go into combat.,yes,woman,yes,don't make for good soldiers so they shouldn't go into combat,yes,yes
I am the oldest son. I am expected to lead by example.,yes,oldest son,yes,am expected to lead by example,yes,yes
She couldn't change the oil herself. Women don't know how to work on cars.,yes,women,yes,don't know how to work on cars,yes,yes
My bride is very demanding.,yes,my bride,yes,is very demanding,yes,yes
There are many schoolboys in my area. Young boys are angrier than girls.,yes,young boys,yes,are angrier than girls,yes,yes
A gentleman always helps a woman.,yes,a woman,yes,always helps a woman,yes,yes
We called the old woman ma'am,yes,the old woman,no,We called the old woman ma'am,no,yes
The mommy was nurturing towards her baby.,yes,The mommy,yes,was nurturing towards her baby,yes,yes
Fathers are the protectors of the family. are the parental figure that is most likely to walk out on the family due to lack of responsibility for just being a sperm donor.,yes,Fathers,yes,are the protectors of the family. are the parental figure that is most likely to walk out on the family due to lack of responsibility for just being a sperm donor,yes,yes
My male friend is here. He is very masculine and strong.,yes,My male friend,yes,He is very masculine and strong,yes,yes
My sister loves to eat pizza. She is pretty and sweet.,yes,My sister,yes,loves to eat pizza. She is pretty and sweet,yes,yes
Her classmates think the little girl is dainty.,yes,the little girl,yes,is dainty,yes,yes
The lady was very outspoken about her opinion,yes,The lady,yes,was very outspoken about her opinion,yes,yes
Women are fun,yes,Women,yes,are fun,yes,yes
The girl was playing with her toys. Her favorite toys were a doll house and a talking flower.,yes,The girl,yes,was playing with her toys. Her favorite toys were a doll house and a talking flower.,yes,yes
The grandfather dined at the restaurant. He had white hair and was hunched over.,yes,The grandfather,yes,had white hair and was hunched over.,yes,yes
The young groom was a handsome man.,yes,The young groom,yes,was a handsome man.,yes,yes
The lady crossing the street looked both ways She was careful and checked multiple times,yes,The lady,no,looked both ways She was careful and checked multiple times,no,yes
"He's a man, he's been taught not to show feelings.",yes,a man,yes,he's been taught not to show feelings,yes,yes
The schoolboy went to school. The reference usually brings to mind a child in a school uniform.,yes,The schoolboy,yes,a child in a school uniform,yes,yes
The male species is always strong,yes,The male species,yes,is always strong,yes,yes
She was a very feminine woman.,yes,a woman,yes,a very feminine woman,yes,yes
He asked me to be his girlfriend. That mostly meant I should do his laundry.,yes,his girlfriend,yes,should do his laundry,yes,yes
The male walked by with a woman. He walked fast and led the way.,yes,The male,yes,walked fast and led the way,yes,yes
Women are not good enough leaders to hold political office.,yes,Women,yes,are not good enough leaders to hold political office,yes,yes
My father is visiting us. He is an alcoholic who beats his children.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I knew him well. The man ate meat and drove a truck.,yes,The man,yes,ate meat and drove a truck,yes,yes
I have two older sisters. They're both stay-at-home mothers.,yes,sisters,yes,are stay-at-home mothers,yes,yes
Look at my son play. Well he must be a boy.,yes,a boy,yes,must be a boy,yes,yes
The female passenger was on the train. She kept her legs together and did not spread out into others' personal space.,yes,The female passenger,yes,kept her legs together and did not spread out into others' personal space,yes,yes
He was a very strong man.,yes,man,yes,was a very strong,yes,yes
The gentleman was found to be quite polite.,yes,gentleman,yes,was found to be quite polite,yes,yes
The stepmother i had as a child was very evil,yes,stepmother,yes,was very evil,yes,yes
My sister is considered a different kind of fragile.,yes,sister,yes,is considered a different kind of fragile,yes,yes
"My friend is female. She cooks, cleans and goes to church.",yes,female,yes,"cooks, cleans and goes to church",yes,yes
"Is that set of keys hers? If it is we should hide it, because we know she can't drive.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Wife is a woman thats married to a man Can make your life miserable,yes,a woman,yes,Can make your life miserable,yes,yes
I saw a gentleman on the street today. He is going to rape someone.,yes,a gentleman,yes,He is going to rape someone,yes,yes
