text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
A bride is getting married. She will kiss the groom.,yes,a bride,yes,is getting married. She will kiss the groom,yes,yes,generic target,neutral,noun,individual,situational behaviour,neutral,concrete
When hanging out at the bar he acts like a dog.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The sister has been noisy following me. Noisy people are obnoxious.,yes,the sister,yes,has been noisy following me,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete
They saw a schoolgirl walking home. She was gossiping with her friends.,yes,a schoolgirl,yes,"walking home, gossiping with her friends",yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete
"My grandmother has passed down some great recipes. She spends her days cooking, cleaning, and minding after the children.",yes,My grandmother,yes,"spends her days cooking, cleaning, and minding after the children",yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
Her boyfriend planned their anniversary. He brought her flowers.,yes,Her boyfriend,yes,"planned their anniversary, brought her flowers",yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
Wendy did try hard in school because she was pretty and would marry a rich spouse.,yes,Wendy,yes,"try hard in school, was pretty, would marry a rich spouse",yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
The band with three guys is called Him. Bands with three guys have groupies.,yes,Bands with three guys,yes,have groupies,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
"My new doctor is female. She is sexy, but terrible at driving.",yes,female,yes,"is sexy, but terrible at driving",yes,yes,specific target,neutral,noun,generic,enduring characteristics,negative,concrete
His mother was a very nurturing woman.,yes,woman,yes,was a very nurturing,yes,yes,specific target,neutral,noun,generic,enduring characteristics,positive,concrete
The boy's mom didn't mind that he was rather rowdy.,yes,mom,no,didn't mind that he was rather rowdy,no,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
My best friend will be a beautiful bride next week. She has been a real manic getting ready for the big day.,yes,bride,yes,has been a real manic getting ready for the big day,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
Ask grandfather is he will read you a story. He is sitting in the living room in his comfy recliner.,yes,grandfather,yes,is sitting in the living room in his comfy recliner,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
The stepfather was evil.,yes,The stepfather,yes,was evil,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
Brad is a father of two kids. He is always working and is never around.,yes,a father,yes,is always working and is never around,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
The male was strong.,yes,The male,yes,was strong,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The championship was hers for the taking. The men laughed at her for showing so much emotion.,yes,The men,yes,laughed at her for showing so much emotion,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
My boyfriend is a male who loves me. Men who love are strong.,yes,Men who love,yes,are strong,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract
Sara has always been a diligent schoolgirl. She behaves well in class and is the teacher's pet.,yes,schoolgirl,yes,behaves well in class and is the teacher's pet,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
That girl was in a movie. She is very attractive.,yes,that girl,yes,was in a movie and is very attractive,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
"Behavior of hers is sometimes unexpectable. When she is angry, she is so rude and aggresive.",no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The female is the opposite of male. The woman liked pink things.,yes,the female,yes,is the opposite of male,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Being called ma'am makes me feel elderly.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The female  make a great secretary.,yes,The female,yes,make a great secretary,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete
Men are accident prone,yes,Men,yes,are accident prone,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The innnocent schoolgirl gave a recital at her school.,yes,The innnocent schoolgirl,yes,gave a recital at her school,yes,yes,specific target,positive,noun,subset,situational behaviour,positive,concrete
Boys are often mean to their classmates.,yes,Boys,yes,are often mean to their classmates,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
The lady walked by. She is quiet and meek.,yes,The lady,yes,is quiet and meek,yes,yes,specific target,neutral,noun,generic,enduring characteristics,positive,abstract
My boss took a male colleague on a date. She said he was very loud and arrogant all evening.,yes,a male colleague,yes,was very loud and arrogant all evening,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
A female is generally considered meek.,yes,A female,yes,is generally considered meek,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The father was very overbearing about his daughters dating life,yes,The father,not-applicable,was very overbearing about his daughters dating life,not-applicable,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete
The boy went out on a date. He payed for the meal.,yes,The boy,yes,payed for the meal,yes,yes,specific target,neutral,noun,generic,situational behaviour,positive,concrete
"He, John, ran a plumbing supplies store. People assumed that John was Italian or poor.",yes,Italian,not-applicable,not-applicable,not-applicable,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable
His wife is passive.,yes,wife,yes,is passive,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract
"He's a brute, just like a typical male.",yes,a typical male,yes,is a brute,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
The little boy asked for his mommy. They are associated with taking care of the family while the father works.,yes,mommy,yes,are associated with taking care of the family,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete
The beautiful bride walked down the aisle.,yes,bride,yes,walked down the aisle,yes,yes,specific target,positive,noun,individual,situational behaviour,positive,concrete
A woman works in the office across from me. She always has to leave early to pick up her children from school.,yes,A woman,yes,works in the office across from me. She always has to leave early to pick up her children from school,yes,yes,specific target,neutral,noun,generic,situational behaviour,neutral,concrete
The person never called his mother mommy. Most young people still call their mothers by their child sayings,yes,young people,yes,still call their mothers by their child sayings,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete
The bride wanted the feminine design that went well with the decore.,yes,The bride,yes,wanted the feminine design that went well with the decore,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete
Her daughter was ten years old. She liked princesses and dancing.,yes,Her daughter,yes,was ten years old. She liked princesses and dancing,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete
