connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,neutral,She was a very feminine woman.,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,He asked me to be his girlfriend. That mostly meant I should do his laundry.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,The male walked by with a woman. He walked fast and led the way.,generic_specific target,situational behaviour_concrete
neutral,noun,negative,My father is visiting us. He is an alcoholic who beats his children.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,I knew him well. The man ate meat and drove a truck.,generic_specific target,situational behaviour_concrete
neutral,noun,neutral,I have two older sisters. They're both stay-at-home mothers.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,Look at my son play. Well he must be a boy.,generic_specific target,situational behaviour_concrete
neutral,noun,positive,The female passenger was on the train. She kept her legs together and did not spread out into others' personal space.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,He was a very strong man.,generic_generic target,enduring characteristics_abstract
positive,noun,positive,The gentleman was found to be quite polite.,subset_specific target,enduring characteristics_abstract
negative,noun,negative,The stepmother i had as a child was very evil,subset_specific target,enduring characteristics_abstract
neutral,noun,positive,"My friend is female. She cooks, cleans and goes to church.",generic_specific target,situational behaviour_concrete
not-applicable,not-applicable,not-applicable,"Is that set of keys hers? If it is we should hide it, because we know she can't drive.",not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,Wife is a woman thats married to a man Can make your life miserable,generic_generic target,enduring characteristics_concrete
positive,noun,negative,I saw a gentleman on the street today. He is going to rape someone.,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,I saw a lady on the side of the road She was having trouble with her car and didn't know how to fix it,generic_specific target,situational behaviour_concrete
neutral,noun,neutral,I went to dinner with my boyfriend. He is a man so he paid for dinner.,generic_specific target,situational behaviour_concrete
neutral,noun,positive,"For a woman, she was acting rather maturely.",generic_generic target,situational behaviour_concrete
neutral,noun,positive,My daddy is tough.,individual_specific target,enduring characteristics_abstract
neutral,noun,positive,She was wearing a light coat. The woman was delicate and pretty.,generic_generic target,enduring characteristics_abstract
negative,noun,negative,The stepmother is a evil!,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The grandfather was a kind man. He served in the marines during the Vietnam War.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,I have a new stepmother. She never has anything nice to say to me.,individual_specific target,enduring characteristics_concrete
neutral,noun,positive,The mother cared for her child. She was very caring.,subset_specific target,situational behaviour_concrete
positive,noun,positive,The ma'am was very nice!,subset_specific target,enduring characteristics_abstract
neutral,other,not-applicable,This dish is a salad so it must be hers.,individual_specific target,not-applicable_not-applicable
negative,noun,negative,She didn't want to talk to him. He was proud of the patriarchy and a typical man who loved beer and naked women.,subset_generic target,enduring characteristics_concrete
neutral,noun,positive,The female is gentle,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,Most people think of him as a gentleman. He always opened doors for others.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,The husband was the dominant one in the household.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,A stepmother is always mean.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,The man was very polite He offered me a tea and chair,generic_specific target,situational behaviour_concrete
neutral,noun,positive,My daughter is very caring,individual_specific target,enduring characteristics_abstract
neutral,noun,not-applicable,I wish girlfriends were easy to come by. Girls often play hard to get and only want you to buy them things.,generic_generic target,other_not-applicable
neutral,noun,not-applicable,Aaron's girlfriend is also known as his little lady.,individual_specific target,other_not-applicable
neutral,noun,neutral,"The grandfather quietly got out of his seat. Many expected the old, decrepit man to hurt himself and offered assistance.",individual_specific target,situational behaviour_concrete
neutral,noun,positive,The gentlemen approached a group of ladies. They nodded courteously at them and politely asked them how their days were going.,generic_generic target,situational behaviour_concrete
